%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Thu Feb  6 11:25:44 2020 nblocks = 0 ET = 3.0
drained notdrained mean
-0.910961507894803 -0.053111594384567695 -0.25727763294490685
-0.9199794264568801 -0.057837013771509405 -0.2605825645714832
-0.9287414877137845 -0.06260018244924126 -0.26383541215491113
-0.9372501328926743 -0.06740114750364157 -0.26703869468746033
-0.9455085801592649 -0.07223965576621438 -0.27019467803771
-0.9535209588523497 -0.07711324995342039 -0.27330570513130303
-0.96129188154472 -0.08200372189438276 -0.27637375171190975
-0.9688263231010144 -0.08689371108025767 -0.2794008009471692
-0.9761295397497145 -0.09178468453598043 -0.2823887539772016
-0.9699755984411329 -0.08604120430170781 -0.2795635954681904
-0.8255332373191511 0.0 -0.2187147020209321
-0.8336173341505875 -0.003561713335278327 -0.22333119903005172
-0.7961128246343598 0.0 -0.2101471129939048
-0.7485989607066745 0.0 -0.1946781026051447
-0.7457518339105977 0.0 -0.1953409117045041
-0.7250583803920962 0.0 -0.1896498601588761
-0.7346862192804791 -0.002694270764198592 -0.19454103918777227
-0.7336674785438007 0.0 -0.19496894493307626
-0.7452602086676183 -0.003656236094256471 -0.20002913236446496
-0.7570187490194558 -0.007458035996908308 -0.20485252682736427
-0.7632457214652897 -0.0076222743370202295 -0.2072388695749361
-0.7645525833737334 -0.004558279346559502 -0.2075562942831218
-0.6180111930487477 0.0 -0.16003232126106284
-0.6291473835034687 -0.002477411522967543 -0.16661416803563786
-0.5870840424051131 0.0 -0.1560666672572312
-0.5880571911063122 0.0 -0.15908852032223791
-0.5982949303329583 -0.001067835314678689 -0.1644970711898648
-0.612820942572224 -0.004819258675253124 -0.17079665364205865
-0.6217340744828679 -0.004514284807001445 -0.1743928231770983
-0.6369399436566958 -0.008355167302296351 -0.18009554276497763
-0.6360002804951979 -0.001265377726964445 -0.179248357227163
-0.6388816706119034 0.0 -0.18000229028428988
-0.6015544590978514 0.0 -0.1673147724811064
-0.6166137067571853 -0.003561707729122787 -0.17341350559234925
-0.6196707109268811 0.0 -0.1744779867650132
-0.6351903068355274 -0.003714091090992966 -0.18010602362874661
-0.6507983238571526 -0.007564533247654381 -0.18545218332661006
-0.6369454428046151 0.0 -0.17942916525656066
